Disease,Diet
Fungal infection,"['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']"
Allergy,"['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']"
GERD,"['Low-acid foods', 'Non-citrus fruits', 'Lean proteins', 'High-fiber foods', 'Alkaline foods']"
Chronic cholestasis,"['Low-fat diet', 'High-fiber foods', 'Vitamin supplements', 'Adequate hydration']"
Drug Reaction,"['Bland diet', 'Easily digestible foods', 'Hydrating foods', 'Anti-inflammatory foods']"
Peptic ulcer disease,"['Bland diet', 'Probiotic foods', 'High-fiber foods', 'Low-acid foods']"
AIDS,"['High-protein diet', 'Nutrient-rich foods', 'Immune-boosting foods', 'Adequate calories']"
Diabetes,"['Low-glycemic foods', 'High-fiber diet', 'Lean proteins', 'Healthy fats']"
Gastroenteritis,"['BRAT diet', 'Clear liquids', 'Probiotics', 'Easily digestible foods']"
Bronchial Asthma,"['Anti-inflammatory foods', 'Vitamin C-rich foods', 'Omega-3 foods', 'Magnesium-rich foods']"
Hypertension,"['Low-sodium diet', 'DASH diet', 'Potassium-rich foods', 'Mediterranean diet']"
Migraine,"['Regular meals', 'Trigger-free foods', 'Magnesium-rich foods', 'Hydrating foods']"
Cervical spondylosis,"['Anti-inflammatory foods', 'Calcium-rich foods', 'Vitamin D foods', 'Collagen-rich foods']"
Paralysis (brain hemorrhage),"['Soft foods', 'Nutrient-dense foods', 'Easy-to-swallow foods', 'Brain-healthy foods']"
Jaundice,"['Low-fat diet', 'High-carb foods', 'Clear fluids', 'Easily digestible foods']"
Malaria,"['High-calorie diet', 'Protein-rich foods', 'Vitamin-rich foods', 'Hydrating foods']"
Chicken pox,"['Soft bland foods', 'Cool foods', 'High-calorie foods', 'Vitamin-rich foods']"
Dengue,"['High-fluid diet', 'Papaya leaf juice', 'Easily digestible foods', 'Vitamin C foods']"
Typhoid,"['Soft bland diet', 'High-calorie foods', 'Easily digestible foods', 'Clear fluids']"
hepatitis A,"['Low-fat diet', 'High-carb foods', 'Plenty of fluids', 'Easy to digest foods']"
Hepatitis B,"['Low-fat diet', 'High-protein foods', 'Whole grains', 'Liver-friendly foods']"
Hepatitis C,"['Mediterranean diet', 'Low-fat foods', 'Anti-inflammatory foods', 'Liver-supporting foods']"
Hepatitis D,"['Balanced diet', 'Liver-friendly foods', 'Protein-rich foods', 'Adequate calories']"
Hepatitis E,"['Light diet', 'Easy to digest foods', 'Plenty of fluids', 'Rest for liver']"
Alcoholic hepatitis,"['Alcohol-free diet', 'Nutritious foods', 'Liver-friendly foods', 'Vitamin supplements']"
Tuberculosis,"['High-calorie diet', 'Protein-rich foods', 'Vitamin-rich foods', 'Adequate nutrition']"
Common Cold,"['Warm soups', 'Vitamin C foods', 'Zinc-rich foods', 'Hydrating foods']"
Pneumonia,"['High-calorie diet', 'Protein-rich foods', 'Vitamin C foods', 'Adequate fluids']"
Dimorphic hemorrhoids(piles),"['High-fiber diet', 'Plenty of fluids', 'Soft foods', 'Easily digestible foods']"
Heart attack,"['Low-fat diet', 'Low-sodium foods', 'Heart-healthy foods', 'Mediterranean diet']"
Varicose veins,"['High-fiber foods', 'Low-salt diet', 'Vitamin C foods', 'Flavonoid-rich foods']"
Hypothyroidism,"['Iodine-rich foods', 'Selenium-rich foods', 'Zinc-rich foods', 'Thyroid-supporting foods']"
Hyperthyroidism,"['High-calorie diet', 'Protein-rich foods', 'Calcium-rich foods', 'Iodine-controlled diet']"
Hypoglycemia,"['Complex carbs', 'Protein-rich foods', 'Frequent small meals', 'Low-glycemic foods']"
Osteoarthristis,"['Anti-inflammatory foods', 'Omega-3 rich foods', 'Collagen-rich foods', 'Vitamin D foods']"
Arthritis,"['Anti-inflammatory diet', 'Omega-3 foods', 'Mediterranean diet', 'Joint-healthy foods']"
(vertigo) Paroymsal Positional Vertigo,"['Well-balanced diet', 'Hydrating foods', 'Low-sodium foods', 'Vitamin D foods']"
Acne,"['Low-glycemic foods', 'Omega-3 foods', 'Zinc-rich foods', 'Antioxidant-rich foods']"
Urinary tract infection,"['Cranberry juice', 'Probiotics', 'Vitamin C foods', 'Plenty of water']"
Psoriasis,"['Anti-inflammatory foods', 'Omega-3 foods', 'Vitamin D foods', 'Antioxidant-rich foods']"
Impetigo,"['Protein-rich foods', 'Vitamin C foods', 'Zinc-rich foods', 'Immune-boosting foods']"
